colour_name,colour,x,y,latitude,longitude
green,"[96, 184, 23]",1402,1474,53.318231523459055,-6.279939118245718
green,"[96, 184, 23]",1287,1474,53.318235722921244,-6.292300698992671
green,"[96, 184, 23]",1261,1474,53.31823667236487,-6.295095491161547
green,"[96, 184, 23]",1209,1474,53.31823857125212,-6.3006850754993
green,"[96, 184, 23]",1171,1474,53.31823995890049,-6.304769771746119
green,"[96, 184, 23]",1081,1474,53.318243245436115,-6.314444052330691
green,"[96, 184, 23]",862,1474,53.3182512426728,-6.337984801753149
green,"[96, 184, 23]",2085,1461,53.31903385712484,-6.206511298675877
green,"[96, 184, 23]",2072,1461,53.31903433184665,-6.207908694760315
green,"[96, 184, 23]",2059,1461,53.31903480656847,-6.209306090844753
green,"[96, 184, 23]",2033,1461,53.31903575601209,-6.21210088301363
green,"[96, 184, 23]",2020,1461,53.3190362307339,-6.213498279098068
red,"[235, 52, 0]",2007,1461,53.319036705455716,-6.214895675182506
green,"[96, 184, 23]",1892,1461,53.3190409049179,-6.227257255929459
green,"[96, 184, 23]",1853,1461,53.31904232908334,-6.231449444182773
green,"[96, 184, 23]",1840,1461,53.31904280380515,-6.232846840267211
green,"[96, 184, 23]",1827,1461,53.31904327852696,-6.23424423635165
green,"[96, 184, 23]",1712,1461,53.319047477989145,-6.246605817098603
green,"[96, 184, 23]",1673,1461,53.319048902154584,-6.250798005351917
green,"[96, 184, 23]",1545,1461,53.31905357633858,-6.264556982183308
green,"[96, 184, 23]",1493,1461,53.31905547522583,-6.270146566521061
green,"[96, 184, 23]",1428,1461,53.319057848834895,-6.277133546943252
green,"[96, 184, 23]",1415,1461,53.3190583235567,-6.27853094302769
green,"[96, 184, 23]",1402,1461,53.31905879827852,-6.279928339112128
green,"[96, 184, 23]",1325,1461,53.31906161009233,-6.288205223612262
red,"[235, 52, 0]",1261,1461,53.31906394718433,-6.295084712027957
green,"[96, 184, 23]",1222,1461,53.319065371349765,-6.299276900281272
green,"[96, 184, 23]",1197,1461,53.31906628427633,-6.301964200443653
green,"[96, 184, 23]",1171,1461,53.319067233719956,-6.304758992612529
green,"[96, 184, 23]",1081,1461,53.31907052025558,-6.314433273197101
green,"[96, 184, 23]",991,1461,53.3190738067912,-6.324107553781673
green,"[96, 184, 23]",849,1461,53.319078992214074,-6.339371418703997
green,"[96, 184, 23]",2085,1448,53.3198611319443,-6.206500519542287
green,"[96, 184, 23]",2072,1448,53.319861606666116,-6.207897915626725
green,"[96, 184, 23]",2059,1448,53.319862081387924,-6.209295311711163
green,"[96, 184, 23]",2046,1448,53.31986255610974,-6.210692707795602
green,"[96, 184, 23]",1995,1448,53.31986441847992,-6.216174800126859
green,"[96, 184, 23]",1840,1448,53.31987007862461,-6.2328360611336215
green,"[96, 184, 23]",1802,1448,53.319871466272986,-6.236920757380441
green,"[96, 184, 23]",1737,1448,53.31987383988205,-6.2439077378026315
green,"[96, 184, 23]",1557,1448,53.319880412953296,-6.263256298971775
green,"[96, 184, 23]",1519,1448,53.31988180060167,-6.267340995218595
red,"[235, 52, 0]",1467,1448,53.31988369948892,-6.272930579556347
green,"[96, 184, 23]",1415,1448,53.31988559837617,-6.2785201638940995
red,"[235, 52, 0]",1248,1448,53.319891696725605,-6.2964713289788055
green,"[96, 184, 23]",1209,1448,53.31989312089104,-6.3006635172321195
red,"[235, 52, 0]",1145,1448,53.31989545798304,-6.3075430056478154
green,"[96, 184, 23]",1068,1448,53.31989826979685,-6.3158198901479485
green,"[96, 184, 23]",1055,1448,53.31989874451866,-6.3172172862323865
green,"[96, 184, 23]",1017,1448,53.319900132167035,-6.3213019824792065
green,"[96, 184, 23]",991,1448,53.31990108161066,-6.3240967746480825
red,"[235, 52, 0]",952,1448,53.3199025057761,-6.3282889629013965
red,"[235, 52, 0]",939,1448,53.319902980497915,-6.329686358985835
green,"[96, 184, 23]",862,1448,53.31990579231172,-6.3379632434859685
green,"[96, 184, 23]",2085,1435,53.320688406763765,-6.2064897404086965
green,"[96, 184, 23]",2007,1435,53.32069125509464,-6.214874116915325
green,"[96, 184, 23]",1879,1435,53.320695929278635,-6.2286330937467165
green,"[96, 184, 23]",1866,1435,53.32069640400045,-6.2300304898311545
green,"[96, 184, 23]",1853,1435,53.32069687872226,-6.231427885915593
green,"[96, 184, 23]",1827,1435,53.32069782816588,-6.234222678084469
green,"[96, 184, 23]",1815,1435,53.320698266370634,-6.235512582162412
red,"[235, 52, 0]",1725,1435,53.32070155290626,-6.245186862746984
green,"[96, 184, 23]",1635,1435,53.32070483944188,-6.254861143331556
green,"[96, 184, 23]",1557,1435,53.32070768777275,-6.263245519838185
green,"[96, 184, 23]",1532,1435,53.32070860069932,-6.265932820000566
green,"[96, 184, 23]",1519,1435,53.32070907542113,-6.267330216085004
green,"[96, 184, 23]",1506,1435,53.320709550142944,-6.268727612169442
green,"[96, 184, 23]",1493,1435,53.32071002486475,-6.27012500825388
